User_ID,State,Age_Group,Gender,AI_Tool,Usage_Frequency,Purpose
1,Rajasthan,55+,Female,ChatGPT,Weekly,Creative Projects
2,Jammu and Kashmir,18-24,Female,Midjourney,Daily,Other
3,Assam,25-34,Female,Copilot,Monthly,Other
4,Odisha,25-34,Male,Runway,Daily,Creative Projects
5,Karnataka,45-54,Male,DALL·E,Monthly,Work
6,Rajasthan,25-34,Male,Other,Never,Entertainment
7,Delhi,25-34,Male,ChatGPT,Rarely,Other
8,Odisha,55+,Female,Bard,Daily,Education
9,Odisha,18-24,Female,Bard,Daily,Education
10,West Bengal,35-44,Male,DALL·E,Daily,Education
11,Karnataka,18-24,Male,Claude,Daily,Entertainment
12,Bihar,45-54,Female,Copilot,Daily,Other
13,Maharashtra,18-24,Other,Claude,Weekly,Work
14,Telangana,25-34,Other,Midjourney,Monthly,Work
15,Tamil Nadu,45-54,Female,ChatGPT,Rarely,Entertainment
16,Maharashtra,18-24,Male,DALL·E,Daily,Other
17,Uttar Pradesh,45-54,Male,DALL·E,Weekly,Creative Projects
18,Telangana,35-44,Female,DALL·E,Daily,Creative Projects
19,Telangana,18-24,Other,Claude,Daily,Other
20,Chhattisgarh,25-34,Female,Other,Weekly,Other
21,Andhra Pradesh,45-54,Female,Claude,Daily,Work
22,Punjab,55+,Female,Midjourney,Monthly,Entertainment
23,Assam,45-54,Male,Bard,Rarely,Entertainment
24,Assam,55+,Male,Bard,Weekly,Work
25,Delhi,25-34,Male,Runway,Monthly,Education
26,Telangana,35-44,Other,Midjourney,Daily,Creative Projects
27,Jammu and Kashmir,55+,Female,Other,Rarely,Other
28,Bihar,35-44,Female,DALL·E,Daily,Creative Projects
29,Madhya Pradesh,45-54,Other,Bard,Daily,Creative Projects
30,Delhi,25-34,Male,Midjourney,Daily,Entertainment
31,Rajasthan,55+,Female,Bard,Weekly,Work
32,Gujarat,45-54,Other,Other,Monthly,Education
33,Rajasthan,18-24,Male,Runway,Never,Education
34,Haryana,45-54,Male,Midjourney,Rarely,Work
35,West Bengal,35-44,Female,Bard,Weekly,Creative Projects
36,Jharkhand,25-34,Male,DALL·E,Monthly,Work
37,Haryana,25-34,Other,Other,Monthly,Work
38,Gujarat,45-54,Male,Claude,Rarely,Other
39,Maharashtra,18-24,Female,Other,Monthly,Other
40,Jammu and Kashmir,35-44,Other,Claude,Monthly,Creative Projects
41,Assam,45-54,Male,Other,Monthly,Entertainment
42,Rajasthan,45-54,Male,Runway,Monthly,Education
43,Telangana,25-34,Male,DALL·E,Daily,Other
44,Karnataka,35-44,Other,Bard,Daily,Creative Projects
45,Assam,18-24,Male,DALL·E,Monthly,Work
46,Bihar,25-34,Female,Midjourney,Rarely,Other
47,Jharkhand,45-54,Other,Claude,Weekly,Work
48,Chhattisgarh,25-34,Other,ChatGPT,Never,Work
49,West Bengal,25-34,Male,Runway,Daily,Other
50,Haryana,55+,Other,Bard,Weekly,Creative Projects
51,Karnataka,25-34,Female,ChatGPT,Weekly,Education
52,West Bengal,25-34,Other,ChatGPT,Never,Creative Projects
53,Maharashtra,35-44,Female,Other,Daily,Entertainment
54,Tamil Nadu,25-34,Male,Runway,Weekly,Entertainment
55,Andhra Pradesh,18-24,Other,Copilot,Daily,Education
56,West Bengal,45-54,Female,ChatGPT,Weekly,Entertainment
57,Haryana,35-44,Male,ChatGPT,Rarely,Work
58,Telangana,25-34,Female,DALL·E,Weekly,Entertainment
59,Maharashtra,18-24,Other,Copilot,Rarely,Other
60,Andhra Pradesh,45-54,Other,Copilot,Never,Work
61,West Bengal,35-44,Female,Copilot,Daily,Creative Projects
62,Jharkhand,18-24,Male,Runway,Rarely,Education
63,Punjab,25-34,Male,Midjourney,Daily,Other
64,Assam,55+,Male,Copilot,Daily,Other
65,Karnataka,55+,Male,DALL·E,Monthly,Education
66,Jharkhand,35-44,Female,Midjourney,Monthly,Entertainment
67,Karnataka,18-24,Other,Bard,Weekly,Education
68,Punjab,45-54,Female,Midjourney,Daily,Education
69,Kerala,18-24,Other,Bard,Never,Entertainment
